Network Size,Permeability $(m^{2}$),Porosity (%),Formation Factor
10,7.440110000000001e-14,0.03272214,91.07611999999999
20,7.689086e-14,0.03297834000000001,88.05839999999999
30,7.904732e-14,0.033042239999999994,86.4966
40,8.036708e-14,0.0330395,85.8135
60,2.091838e-12,0.03305106,85.17980000000001
